;Unnamed: 0;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;0;masculino;comercio;fabrica de;prado;3;10.0;13/07/2018;5000000.0;microempresarial
1;1;femenino;servicio;recreativo educativo;barrio caicedo;1;9.0;30/10/2017;6000000.0;microempresarial
2;2;femenino;comercio;tienda;aranjuez;2;4.0;3/08/2017;7300000.0;microempresarial
3;3;masculino;comercio;variedades;cabecera san cristobal;3;60.0;20/11/2017;7000000.0;microempresarial
4;4;femenino;comercio;fabrica de;robledo;2;7.0;23/02/2017;5000000.0;microempresarial
5;5;femenino;comercio;variedades;picachito;1;6.0;31/05/2017;7000000.0;microempresarial
6;6;femenino;industria;fabrica de;guayabal;3;15.0;20/02/2016;2000000.0;microempresarial
7;7;femenino;comercio;tienda;carpinelo;1;1.0;14/02/2017;3300000.0;microempresarial
8;8;masculino;comercio;variedades;belalcazar;2;5.0;7/05/2018;7800000.0;microempresarial
9;9;femenino;comercio;variedades;manrique central no. 1;1;4.0;3/05/2018;7800000.0;microempresarial
10;10;femenino;industria;fabrica de;manrique central no. 2;2;3.0;28/02/2017;4500000.0;microempresarial
11;11;masculino;agropecuaria;sembrados;santa elena central;2;90.0;23/12/2016;13000000.0;agropecuaria
12;12;femenino;comercio;comidas rapidas;andalucia;2;2.0;12/04/2018;7800000.0;microempresarial
13;13;masculino;industria;fabrica de;san javier no.1;1;13.0;23/08/2018;4000000.0;microempresarial
14;14;masculino;servicio;variedades;belencito;2;13.0;30/07/2018;7800000.0;microempresarial
15;15;masculino;comercio;miscelanea;centro admtivo;3;10.0;14/02/2018;1000000.0;microempresarial
16;16;femenino;comercio;variedades;cabecera san antonio ;2;80.0;16/11/2017;7000000.0;microempresarial
17;17;femenino;servicio;cafe e internet;manrique central no. 1;3;4.0;29/04/2019;8000000.0;microempresarial
18;18;masculino;comercio;tienda;villa hermosa;3;8.0;27/06/2018;5000000.0;microempresarial
19;19;femenino;comercio;venta de calzado;playon de los ;2;2.0;27/02/2017;7000000.0;microempresarial
20;20;femenino;comercio;productos de belleza;buenos aires;3;9.0;24/07/2017;7300000.0;microempresarial
21;21;masculino;comercio;tienda;manrique central no. 1;2;4.0;14/09/2018;6000000.0;microempresarial
22;22;femenino;comercio;tienda;popular;2;1.0;11/10/2018;6000000.0;microempresarial
23;23;femenino;comercio;almacen de ropa en;robledo;2;7.0;15/02/2018;6000000.0;microempresarial
24;24;femenino;comercio;variedades;tricentenario;3;5.0;20/11/2017;4000000.0;microempresarial
25;25;masculino;servicio;barberia;calasanz;2;12.0;26/09/2017;7377000.0;microempresarial
26;26;masculino;industria;fabrica de;aranjuez;3;4.0;24/10/2016;6500000.0;microempresarial
27;27;femenino;comercio;comidas rapidas;buenos aires;2;9.0;28/06/2019;1500000.0;microempresarial
28;28;masculino;comercio;variedades;andalucia;2;2.0;17/08/2018;7800000.0;microempresarial
29;29;femenino;servicio;peluqueria;pedregal;3;6.0;27/10/2017;7300000.0;microempresarial
30;30;femenino;servicio;jardineria;la francia;2;2.0;12/06/2017;7377000.0;microempresarial
31;31;femenino;comercio;variedades;santa cruz;2;2.0;14/06/2017;4000000.0;microempresarial
32;32;femenino;comercio;tienda;san javier no.1;2;13.0;6/02/2018;7800000.0;microempresarial
33;33;femenino;comercio;variedades;la floresta;3;12.0;5/09/2017;7300000.0;microempresarial
34;34;femenino;comercio;variedades;belen;3;16.0;16/09/2016;6890000.0;microempresarial
35;35;masculino;comercio;tienda;las brisas;3;5.0;15/01/2018;6000000.0;microempresarial
36;36;femenino;comercio;peluqueria;castilla;3;5.0;11/08/2017;2500000.0;microempresarial
37;37;masculino;industria;fabrica de alimentos;san javier no.1;2;13.0;27/10/2016;6800000.0;microempresarial
38;38;femenino;comercio;almacen de ropa en;cabecera san antonio ;2;80.0;22/09/2016;4000000.0;microempresarial
39;39;masculino;industria;variedades;cabecera san antonio ;2;80.0;24/07/2017;5000000.0;credioportuno
40;40;masculino;industria;fabrica de;guayabal;2;15.0;2/03/2016;4000000.0;microempresarial
41;41;masculino;industria;fabrica de;belen;2;16.0;24/05/2016;6500000.0;microempresarial
42;42;femenino;comercio;comidas rapidas;santander;2;6.0;27/07/2018;1200000.0;microempresarial
43;43;femenino;comercio;almacen de ropa en;prado;3;10.0;20/11/2017;7000000.0;microempresarial
44;44;femenino;comercio;comidas rapidas;santa cruz;2;2.0;22/03/2018;1500000.0;microempresarial
45;45;masculino;industria;fabrica de traperos;aranjuez;3;4.0;24/02/2016;2000000.0;microempresarial
46;46;femenino;comercio;variedades;castilla;3;5.0;15/02/2017;4000000.0;microempresarial
47;47;masculino;industria;fabrica de alimentos;san javier no.2;3;13.0;29/02/2016;6890000.0;microempresarial
49;49;masculino;industria;fabrica de;san javier no.1;1;13.0;15/08/2017;6000000.0;microempresarial
50;50;masculino;servicio;variedades;pedregal;3;6.0;24/04/2017;7000000.0;microempresarial
51;51;masculino;comercio;panaderia;cabecera san antonio ;2;80.0;27/04/2017;3000000.0;microempresarial
52;52;masculino;servicio;mantenimiento en;la milagrosa;2;9.0;16/05/2018;7000000.0;microempresarial
53;53;masculino;comercio;variedades;la floresta;3;12.0;16/08/2016;6000000.0;microempresarial
54;54;femenino;comercio;fabrica de;san javier no.1;1;13.0;5/10/2017;7300000.0;microempresarial
55;55;masculino;comercio;tienda;cabecera san antonio ;3;80.0;21/05/2018;5500000.0;microempresarial
56;56;femenino;comercio;tienda de helados;robledo;3;7.0;23/05/2018;7800000.0;microempresarial
57;57;femenino;comercio;variedades;tricentenario;3;5.0;27/04/2017;7000000.0;microempresarial
58;58;femenino;comercio;miscelanea;villa hermosa;3;8.0;19/12/2016;6890000.0;microempresarial
59;59;masculino;servicio;mantenimiento en;andalucia;1;2.0;22/01/2016;6890000.0;microempresarial
60;60;femenino;comercio;tienda;bombona no. 1;3;10.0;5/10/2016;4000000.0;microempresarial
61;61;masculino;industria;fabrica de;santa cruz;2;2.0;30/09/2016;6890000.0;microempresarial
62;62;femenino;comercio;almacen de ropa en;manrique oriental;2;3.0;8/02/2017;1200000.0;microempresarial
63;63;femenino;comercio;fabrica de;villa liliam;1;13.0;6/02/2019;7800000.0;microempresarial
64;64;masculino;comercio;tienda;kennedy;2;6.0;27/09/2018;5000000.0;microempresarial
65;65;femenino;comercio;variedades;robledo;2;7.0;28/10/2016;6000000.0;microempresarial
66;66;femenino;comercio;tienda;santa cruz;2;2.0;4/04/2016;4000000.0;microempresarial
67;67;femenino;comercio;variedades;popular;2;1.0;29/02/2016;6500000.0;microempresarial
68;68;masculino;comercio;comidas rapidas;doce de octubre no.1;2;6.0;21/05/2018;5000000.0;microempresarial
69;69;masculino;servicio;bares;san javier no.1;2;13.0;16/07/2018;5000000.0;microempresarial
70;70;masculino;industria;fabrica de;buenos aires;3;9.0;6/03/2018;7800000.0;microempresarial
71;71;femenino;comercio;peluqueria;pedregal;3;6.0;18/04/2017;7000000.0;microempresarial
72;72;femenino;comercio;almacen de ropa en;robledo;2;7.0;3/07/2018;4000000.0;microempresarial
73;73;femenino;comercio;tienda;robledo;2;7.0;5/09/2018;5000000.0;microempresarial
74;74;femenino;comercio;peluqueria;robledo;2;7.0;3/05/2018;6000000.0;microempresarial
75;75;femenino;agropecuaria;criadero de animales;la floresta;2;12.0;14/06/2016;6890000.0;microempresarial
76;76;masculino;comercio;almacen de ropa en;popular;1;1.0;18/10/2018;7800000.0;microempresarial
77;77;masculino;comercio;tienda;la milagrosa;3;9.0;20/02/2018;5000000.0;microempresarial
79;79;femenino;comercio;restaurante;enciso;3;8.0;9/03/2017;7000000.0;microempresarial
80;80;femenino;servicio;organización y;pedregal;3;6.0;12/10/2017;7377000.0;microempresarial
81;81;femenino;industria;fabrica de;el salvador;2;9.0;6/06/2017;7377000.0;microempresarial
82;82;femenino;industria;fabrica de;manrique central no. 1;2;4.0;27/04/2018;3000000.0;microempresarial
83;83;masculino;servicio;restaurante;belen;3;16.0;3/04/2017;7350000.0;microempresarial
84;84;femenino;comercio;variedades;buenos aires;3;9.0;20/06/2017;1000000.0;microempresarial
85;85;masculino;comercio;tienda;aranjuez;1;4.0;4/09/2017;3000000.0;microempresarial
86;86;femenino;servicio;peluqueria;el salvador;2;60.0;19/09/2017;3000000.0;microempresarial
87;87;femenino;industria;fabrica de;la esperanza;1;6.0;12/04/2018;3000000.0;microempresarial
88;88;femenino;comercio;panaderia;playon de los ;2;2.0;22/11/2016;6000000.0;microempresarial
89;89;femenino;comercio;almacen de ropa en;santa cruz;2;2.0;21/02/2017;6000000.0;microempresarial
90;90;masculino;comercio;tienda;robledo;1;7.0;18/12/2017;5000000.0;microempresarial
91;91;femenino;comercio;comidas rapidas;robledo;3;7.0;29/01/2018;7800000.0;microempresarial
92;92;femenino;industria;fabrica de;barrio caicedo;2;9.0;16/03/2017;5000000.0;microempresarial
93;93;masculino;servicio;variedades;santo domingo savio ;1;1.0;28/02/2018;7000000.0;microempresarial
94;94;femenino;comercio;variedades;aranjuez;2;4.0;25/08/2016;3000000.0;microempresarial
95;95;masculino;servicio;comidas rapidas;robledo;2;7.0;29/03/2017;7377000.0;microempresarial
96;96;femenino;comercio;tienda;popular;2;1.0;29/06/2017;7300000.0;microempresarial
97;97;femenino;comercio;almacen de ropa en;robledo;2;7.0;9/03/2017;6000000.0;microempresarial
98;98;masculino;comercio;tienda;el salvador;3;9.0;12/04/2016;1000000.0;microempresarial
99;99;femenino;comercio;miscelanea;centro admtivo;1;10.0;15/02/2018;5000000.0;microempresarial
100;100;femenino;comercio;variedades;doce de octubre no.1;2;6.0;2/03/2017;3000000.0;microempresarial
101;101;masculino;comercio;fabrica de;centro admtivo;2;10.0;24/01/2018;4500000.0;microempresarial
102;102;femenino;comercio;fabrica de alimentos;campo valdes no. 2;1;3.0;24/11/2017;3000000.0;microempresarial
103;103;masculino;comercio;variedades;campo valdes no. 1;3;4.0;6/06/2018;4000000.0;microempresarial
104;104;femenino;servicio;fabrica de arepas;villa hermosa;3;8.0;24/08/2016;1050000.0;microempresarial
105;105;femenino;industria;carpinteria;belen;3;16.0;30/01/2018;7800000.0;microempresarial
106;106;femenino;comercio;variedades;calasanz;3;12.0;16/05/2018;3000000.0;microempresarial
108;108;femenino;servicio;variedades;las palmas;2;10.0;22/12/2017;4400000.0;microempresarial
109;109;masculino;comercio;tienda;girardot;3;5.0;16/05/2019;8200000.0;microempresarial
110;110;masculino;servicio;drogueria;cabecera san cristobal;2;60.0;12/07/2018;7800000.0;microempresarial
111;111;femenino;industria;fabrica de;moravia;2;4.0;1/06/2018;7800000.0;microempresarial
112;112;femenino;comercio;tienda;enciso;2;8.0;18/04/2017;7000000.0;microempresarial
113;113;femenino;comercio;almacen de ropa en;cabecera san antonio ;2;80.0;9/02/2017;7377000.0;microempresarial
114;114;femenino;comercio;tienda de helados;san javier no.1;2;13.0;27/09/2017;30000000.0;empresarial ed. 
115;115;femenino;comercio;almacen de ropa en;antonio nariño;2;13.0;16/08/2016;6890000.0;microempresarial
116;116;masculino;comercio;productos de mar;santa cruz;2;2.0;7/06/2018;2500000.0;microempresarial
117;117;femenino;agropecuaria;criadero de animales;cabecera san antonio ;2;80.0;5/12/2017;7300000.0;microempresarial
118;118;masculino;servicio;cafe e internet;moravia;3;4.0;13/02/2018;3000000.0;microempresarial
119;119;femenino;industria;fabrica de;popular;2;1.0;24/08/2018;7800000.0;microempresarial
120;120;masculino;industria;ebanistaria;manrique oriental;2;3.0;6/12/2016;6500000.0;microempresarial
121;121;femenino;comercio;variedades;las palmas;2;8.0;22/05/2018;4400000.0;microempresarial
122;122;masculino;agropecuaria;sembrados;santa elena central;2;90.0;26/07/2017;10000000.0;agropecuaria
123;123;femenino;comercio;variedades;aranjuez;3;4.0;2/02/2018;36.0;microempresarial
124;124;masculino;industria;fabrica de calzado;el socorro;2;13.0;12/12/2017;7370000.0;microempresarial
125;125;masculino;industria;fabrica de;doce de octubre no.1;1;6.0;27/07/2016;6800000.0;microempresarial
126;126;femenino;comercio;fabrica de helados;manrique central no. 1;2;4.0;4/10/2016;6000000.0;microempresarial
127;127;femenino;comercio;miscelanea;lopez de mesa;3;7.0;18/10/2017;2000000.0;microempresarial
128;128;femenino;comercio;bares;aures no. 2;2;7.0;1/03/2019;2500000.0;microempresarial
129;129;masculino;servicio;variedades;popular;2;1.0;31/08/2017;5000000.0;microempresarial
130;130;femenino;comercio;miscelanea;buenos aires;2;9.0;24/01/2017;7370000.0;microempresarial
131;131;femenino;comercio;papeleria;cabecera san antonio ;2;80.0;11/12/2018;2000000.0;microempresarial
132;132;masculino;servicio;restaurante;centro admtivo;3;10.0;8/11/2017;4000000.0;microempresarial
133;133;femenino;comercio;carniceria;robledo;3;7.0;13/10/2017;4000000.0;microempresarial
134;134;femenino;industria;fabrica de;castilla;2;5.0;18/01/2019;8200000.0;microempresarial
135;135;femenino;comercio;comidas rapidas;san jose de la cima no. ;1;3.0;16/02/2018;2000000.0;microempresarial
136;136;femenino;servicio;comidas rapidas;palermo;1;4.0;18/08/2016;3500000.0;microempresarial
137;137;masculino;servicio;tienda;13 de noviembre;1;8.0;15/08/2017;7200000.0;microempresarial
138;138;femenino;servicio;mantenimiento en;tejelo;3;5.0;3/04/2017;7377000.0;microempresarial
139;139;femenino;industria;fabrica de;doce de octubre no.1;1;6.0;15/04/2016;2000000.0;microempresarial
140;140;femenino;comercio;variedades;francisco antonio zea;2;5.0;9/02/2018;781000.0;microempresarial
141;141;femenino;comercio;tienda;picacho;1;6.0;29/05/2019;8200000.0;microempresarial
142;142;masculino;comercio;almacen de ropa en;girardot;3;5.0;23/02/2017;3000000.0;microempresarial
143;143;masculino;industria;carpinteria;manrique oriental;1;3.0;16/12/2016;6900000.0;microempresarial
144;144;femenino;servicio;peluqueria;buenos aires;3;9.0;13/06/2017;7377000.0;microempresarial
145;145;femenino;comercio;variedades;el salvador;2;9.0;27/10/2017;6500000.0;microempresarial
146;146;masculino;servicio;cafeteria;santa elena central;2;90.0;16/05/2016;6000000.0;microempresarial
147;147;masculino;servicio;barberia;robledo;2;7.0;8/05/2018;6000000.0;microempresarial
148;148;masculino;comercio;peluqueria;belen;3;16.0;8/06/2018;7800000.0;microempresarial
